destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,coupon_accepted,bar_visit_group,age_num
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,Some college - no degree,Unemployed,$100000 or More,unknown,1~3,never,4~8,1~3,less1,1,1,1,0,1,0,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,0,more,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,0,0,1,1,more,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,High School Graduate,Unemployed,$37500 - $49999,unknown,gt8,gt8,gt8,gt8,gt8,1,1,1,0,1,1,more,26
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,0,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,0,0,1,1,more,26
Home,Partner,Sunny,30,10PM,Bar,2h,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,1,0,1,1,more,26
Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Unmarried partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,unknown,4~8,gt8,1~3,1~3,1~3,1,1,1,0,1,1,more,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,1,Some High School,Unemployed,Less than $12500,unknown,1~3,gt8,4~8,4~8,4~8,1,1,1,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Male,26,Single,0,Bachelors degree,Unemployed,$12500 - $24999,unknown,1~3,less1,4~8,1~3,less1,1,1,1,0,1,1,few,26
No Urgent Place,Kid(s),Snowy,30,6PM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,0,0,0,1,0,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,1,few,31
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,0,0,1,0,few,31
Home,Partner,Sunny,30,10PM,Bar,2h,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,1,0,1,1,few,31
Work,Alone,Snowy,30,7AM,Bar,1d,Male,31,Married partner,1,Some college - no degree,Protective Service,$100000 or More,unknown,1~3,less1,4~8,1~3,4~8,1,1,1,0,1,1,few,31
No Urgent Place,Friend(s),Sunny,80,10PM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Friend(s),Sunny,55,10PM,Bar,2h,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Alone,Rainy,55,10AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
No Urgent Place,Partner,Rainy,55,6PM,Bar,2h,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,0,0,1,1,few,26
Work,Alone,Snowy,30,7AM,Bar,1d,Female,26,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$50000 - $62499,unknown,1~3,never,4~8,4~8,less1,1,1,1,0,1,0,few,26
